close,high,low,open
4.722,4.995,4.2,4.248
5.268,5.5,4.615,4.722
5.217,5.47,4.8,5.268
4.881,5.29,4.65,5.217
5.574,5.7,4.751,4.881
6.948,7.22,5.574,5.574
6.697,7.21,6.126,6.948
6.81,7.016,6.38,6.697
7.114,7.2,6.734,6.81
6.326,7.191,5.81,7.114
6.36,6.89,6.001,6.326
6.9,7.138,6.413,6.36
6.8,6.997,6.337,6.9
6.41,6.804,6.4,6.8
6.75,6.95,6.22,6.41
7.002,7.08,6.741,6.75
6.683,7.189,6.511,7.002
5.6,6.95,4.64,6.683
5.92,6.95,5.1,5.6
6.36,6.361,5.873,5.92
6.49,6.58,6.258,6.36
6.18,6.548,6.1,6.49
6.31,6.455,6.1,6.18
6.356,6.389,6.212,6.31
6.29,6.394,6.219,6.356
5.75,6.322,5.502,6.29
5.34,5.92,5.3,5.75
5.292,5.51,5.05,5.34
5.627,5.76,5.26,5.292
5.381,5.7,5.328,5.627
5.49,5.6,5.367,5.381
5.484,5.65,5.426,5.49
6.076,6.2,5.468,5.484
6.1,6.199,5.823,6.076
5.959,6.14,5.719,6.1
5.873,5.987,5.84,5.959
5.689,5.885,5.45,5.873
5.453,5.72,5.45,5.689
5.69,5.78,5.45,5.453
5.6,5.849,5.3,5.69
5.83,5.915,5.5,5.6
5.913,5.985,5.801,5.83
5.601,6,5.541,5.913
5.515,5.85,5.43,5.601
5.26,5.72,5.2,5.515
4.463,5.451,4.212,5.26
4.325,4.88,4.2,4.463
4.274,4.444,3.878,4.325
4.41,4.77,4.228,4.274
4.222,4.497,4.12,4.41
4.387,4.52,4.181,4.222
4.361,4.47,4.29,4.387
4.272,4.397,4.212,4.361
4.425,4.54,4.271,4.272
5.015,5.198,4.42,4.425
5.029,5.1,4.825,5.015
4.773,5.07,4.65,5.029
4.922,5.1,4.773,4.773
4.956,4.99,4.89,4.922
4.868,5,4.735,4.956
4.86,4.9,4.8,4.868
4.921,4.989,4.86,4.86
4.705,4.95,4.51,4.921
4.614,4.78,4.51,4.705
4.82,4.95,4.612,4.614
4.984,5.05,4.82,4.82
4.99,5.07,4.9,4.984
4.938,5.05,4.84,4.99
4.93,5,4.755,4.938
4.861,4.949,4.821,4.93
4.833,4.913,4.753,4.861
4.91,4.99,4.811,4.833
4.89,4.95,4.856,4.91
5.27,5.41,4.865,4.89
5.38,5.45,5.252,5.27
5.327,5.445,5.255,5.38
5.344,5.4,5.3,5.327
5.216,5.4,5.212,5.344
5.279,5.34,5.211,5.216
4.694,5.31,4.5,5.279
4.838,4.9,4.588,4.694
4.815,4.87,4.75,4.838
4.704,4.88,4.598,4.815
4.686,4.79,4.6,4.704
4.676,4.729,4.596,4.686
4.55,4.683,4.3,4.676
4.619,4.738,4.516,4.55
4.811,4.846,4.49,4.619
4.788,4.837,4.721,4.811
4.808,4.861,4.71,4.788
4.86,4.88,4.717,4.808
4.909,4.95,4.82,4.86
4.827,4.92,4.73,4.909
4.974,5.08,4.76,4.827
4.952,4.995,4.81,4.974
4.91,4.97,4.89,4.952
4.919,4.935,4.87,4.91
4.95,4.98,4.88,4.919
4.687,4.95,4.687,4.95
4.793,4.8,4.62,4.687
4.872,4.879,4.732,4.793
4.837,4.9,4.764,4.872
4.928,4.98,4.791,4.837
4.92,4.946,4.843,4.928
4.94,4.945,4.73,4.92
4.96,5.03,4.9,4.94
4.969,4.98,4.86,4.96
4.932,4.979,4.91,4.969
4.976,5.022,4.925,4.932
5.118,5.178,4.96,4.976
5.138,5.19,5.1,5.118
5.35,5.48,5.101,5.138
5.26,5.479,5.11,5.35
5.204,5.325,5.101,5.26
4.96,5.218,4.96,5.204
5.098,5.2,4.952,4.96
5.132,5.18,5.036,5.098
5.098,5.175,4.99,5.132
5.109,5.124,5.032,5.098
4.979,5.109,4.846,5.109
4.904,5.018,4.88,4.979
4.949,5,4.87,4.904
5,5,4.916,4.949
5.074,5.179,4.97,5
5.134,5.184,5.02,5.074
5.067,5.15,5.067,5.134
5.077,5.12,5.029,5.067
5.05,5.099,5.014,5.077
5.06,5.096,4.971,5.05
5.05,5.1,4.96,5.06
5.044,5.096,5,5.05
4.85,5.125,4.803,5.044
4.96,5,4.801,4.85
4.946,4.999,4.915,4.96
4.93,4.999,4.92,4.946
5.006,5.036,4.9,4.93
5.035,5.04,4.951,5.006
5.089,5.135,5,5.035
5.1,5.1,5.051,5.089
5.118,5.13,5.061,5.1
5.099,5.143,5.07,5.118
5.09,5.15,5.085,5.099
5.1,5.13,5.062,5.09
5.099,5.115,5.05,5.1
5.14,5.165,5.065,5.099
5.119,5.149,5.07,5.14
5.145,5.15,5.102,5.119
5.103,5.145,5.1,5.145
5.139,5.148,5.1,5.103
5.136,5.16,5.11,5.139
5.15,5.159,5.015,5.136
5.135,5.173,5.1,5.15
5.18,5.2,5.112,5.135
5.275,5.279,5.181,5.18
5.249,5.275,5.213,5.275
5.205,5.254,5.205,5.249
5.266,5.279,5.18,5.205
5.44,5.5,5.224,5.266
5.46,5.49,5.389,5.44
5.591,5.594,5.41,5.46
5.633,5.66,5.56,5.591
5.56,5.7,5.462,5.633
5.468,5.577,5.427,5.56
5.575,5.6,5.432,5.468
5.7,5.75,5.5,5.575
5.929,5.96,5.66,5.7
5.954,5.974,5.808,5.929
6.5,6.587,5.883,5.954
6.4,6.599,6.261,6.5
6.164,6.53,6.103,6.4
6.31,6.36,6.03,6.164
6.499,6.533,6.281,6.31
6.67,6.71,6.45,6.499
6.68,6.8,6.561,6.67
6.548,6.8,6.428,6.68
6.428,6.651,6.4,6.548
6.35,6.47,6.35,6.428
6.305,6.446,6.217,6.35
6.42,6.47,6.289,6.305
6.647,6.65,6.4,6.42
6.606,6.669,6.49,6.647
6.65,6.679,6.542,6.606
6.69,6.694,6.602,6.65
6.629,6.694,6.535,6.69
6.76,6.765,6.578,6.629
6.45,6.76,6.4,6.76
6.51,6.55,6.45,6.45
6.67,6.77,6.481,6.51
6.648,6.72,6.55,6.67
6.762,6.87,6.63,6.648
6.799,6.86,6.723,6.762
7.021,7.1,6.743,6.799
7.2,7.25,6.96,7.021
7.15,7.257,7.018,7.2
7.764,7.9,7.1,7.15
7.665,7.816,7.42,7.764
7.542,7.665,7.516,7.665
7.621,7.7,7.45,7.542
8.5,8.65,7.618,7.621
8.8,9.49,7.322,8.5
9.11,9.399,8.5,8.8
8.87,9.234,8.818,9.11
8.52,8.87,7.6,8.87
8.846,9.7,7.96,8.52
8.41,8.97,8.271,8.846
8.446,9.2,7.75,8.41
8.6,8.85,8.34,8.446
8.8,8.9,8.369,8.6
8.9,8.901,8.6,8.8
8.9,8.95,8.814,8.9
8.888,8.93,8.71,8.9
8.71,8.888,8.7,8.888
9.098,9.15,8.7,8.71
9.35,9.44,9.079,9.098
9.55,9.65,9.111,9.35
10.53,11,9.412,9.55
10.97,11.12,10.3,10.53
10.98,11.3,10.53,10.97
10.87,11.29,10.11,10.98
10.86,11.19,10.64,10.87
11.1,11.1,10.65,10.86
